URL;Date;Type d'URL;Type d'acteur(s);Thème dans la controverse;Position vis-à-vis du thème ;Poids dans la controverse;Lu en détail?
http://www.transfaithonline.org/fileadmin/TFteaching/intersex-ClarifyingTranssexualism.pdf;2005;PDF;Association;Intersexe vs trans;Trans = intersexe?;**;oui
http://www.isna.org/faq/transgender;;Site;Organisation ISNA;Intersexe vs trans;Trans = intersexe?;****;oui
https://www.amnesty.org/fr/latest/news/2016/10/intersex-awareness-day/;2016;Site;ONG Amnesty international;LGBTI;LGBT et intersexe;****;oui
http://www.intersexinitiative.org/articles/lgbti.html;;Site;Intersexuée;LGBTI;LGBT et intersexe;***;oui
http://www.actupparis.org/spip.php?article5277;2013;Campagne;Militants trans et intersexe;Intersexe vs trans;Trans = intersexe?;****;oui
https://www.autostraddle.com/brought-to-you-by-the-letter-i-why-intersex-politics-matters-to-lgbt-activism-192760/;2013;Blog;Intersexe + LGBT;LGBTI;LGBT et intersexe;**;oui
http://www.intersexinitiative.org/academia/stephanie.html;;Site;definition intersexe;Fenêtre sur le sujet intersexe;Du côté des intersexuées;**;oui
http://www.thescavenger.net/sex-gender-sexual-diversity/sgd-diversity/369-trans-as-intersex-crossing-the-line-56934.html;2010;Média;Sexologue, hypnothérapeute, auteur;Intersexe vs trans;Trans = intersexe?;**;oui/non
https://oii.org.au/27298/intersex-and-brain-differences/;2014;Site;Intersexe + Trans;Intersexe vs trans;Trans = intersexe?;****;oui
http://asso.orfeo.free.fr/intersexuation/index.html;;Blog;definition intersexe;intersexe;Du côté des intersexuées;*;oui
https://fr.wikipedia.org/w/index.php?title=Lesbiennes,_gays,_bisexuels_et_transgenres&oldid=137392870;2017;Wikipédia;LGBT;LGBTI;LGBT;****;oui
http://www.slate.fr/story/41351/homosexualite-maladie;2011;Média;Homosexualité;LGBTI;LGBT et intersexe;****;oui
https://www.excisionparlonsen.org/excision/;2017;Site;Association;Opérations chirurgicales;militants;***;oui
http://everyoneisgay.com/are-intersex-people-inherently-queer/;2016;Blog;Intersexe + LGBT;LGBTI;LGBT et intersexe;*;oui
http://fullfrontalactivism.blogspot.com/2014/02/adding-i-revisited-call-to-action-for.html;2014;Blog;Intersexe + LGBT;LGBTI;LGBT et intersexe;**;oui
https://fr.wikisource.org/wiki/D%C3%A9claration_de_Montr%C3%A9al_sur_les_droits_humains_des_LGBT;2006;Wikisource;Juridique;droits des intersexuées + LGBT;Du côté des intersexuées;****;oui
http://www.yogyakartaprinciples.org/principle-18-fr/;2007;Site;Juridique;droits des intersexuées + LGBT;Du côté des intersexuées;****;oui
https://fr.answers.yahoo.com/question/index?qid=20120419045502AAjnSy2;2012;Forum;Particuliers;LGBTI;LGBT et intersexe;*;oui
https://oii.org.au/demographics/;2016;Site;Organisation Internationale;Démographie;Du côté des intersexuées;****;oui
https://oii.org.au/30303/ioc-no-change-athletes-intersex/;2013;Site;Organisation Internationale;Definitions d'intersexe;Du côté des intersexuées;****;oui
https://oii.org.au/18106/what-is-intersex/;2016;Site;Organisation Internationale;Sport;Intersxe vs trans;****;Oui/Non
https://stillfierce.wordpress.com/;2011;Blog;Association;ISGD/ Intersexe/ Trans;discours trans d'après les intersexes;***;Oui/Non
